8.0.1265625.1|[1,-1,0,1,-1,1,0,-1,1]
8.0.4000000.1|[1,0,-1,0,1,0,-1,0,1]
8.0.5308416.1|[1,0,0,0,-1,0,0,0,1]
8.0.12960000.1|[1,0,-3,0,8,0,-3,0,1]
8.0.13140625.1|[1,3,5,3,4,-3,5,-3,1]
8.0.16777216.1|[1,0,0,0,0,0,0,0,1]
8.0.18939904.2|[2,-12,30,-44,43,-28,14,-4,1]
8.0.22581504.2|[16,-32,20,4,-11,2,5,-4,1]
8.0.26265625.1|[16,-24,8,0,1,0,2,-3,1]
8.0.37515625.1|[16,-8,-4,6,-1,3,-1,-1,1]
8.0.40960000.1|[1,0,0,0,7,0,0,0,1]
8.0.42575625.1|[1,1,4,-1,9,1,4,-1,1]
8.0.49787136.1|[16,0,12,0,5,0,3,0,1]
8.0.56070144.2|[13,-38,70,-74,63,-34,16,-4,1]
8.0.58140625.2|[25,-25,-10,5,11,-7,4,-3,1]
8.0.64000000.1|[16,0,-8,0,4,0,-2,0,1]
8.0.64000000.2|[16,0,8,0,4,0,2,0,1]
8.0.85100625.1|[16,-8,-8,2,3,1,-2,-1,1]
8.0.95883264.1|[4,-8,6,-12,15,-2,-1,-2,1]
8.0.98188281.1|[1,0,11,0,18,0,8,0,1]
8.0.110166016.2|[1,0,10,0,19,0,10,0,1]
8.0.121550625.1|[16,8,-16,18,23,-9,-4,-1,1]
8.0.123765625.1|[16,24,24,8,9,-4,6,-3,1]
8.0.134560000.4|[1,0,7,0,13,0,7,0,1]
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]
8.0.170772624.1|[16,-24,20,-12,6,-6,5,-3,1]
8.0.185640625.1|[81,-81,9,3,4,1,1,-3,1]
8.0.188375625.1|[25,-25,-5,-10,21,-2,-2,-2,1]
8.0.191102976.5|[36,0,36,0,6,0,-6,0,1]
8.0.195105024.2|[81,-108,45,12,-20,4,5,-4,1]
8.0.207360000.2|[16,0,-24,0,32,0,-6,0,1]
8.0.214798336.3|[16,-16,0,-4,9,-2,0,-2,1]
8.0.266244489.1|[1,0,9,0,17,0,9,0,1]
8.0.267543125.1|[11,-21,32,-23,16,-10,6,-1,1]
8.0.268960000.3|[16,0,-20,0,13,0,-5,0,1]
8.0.273850625.1|[16,-8,12,2,3,1,3,-1,1]
8.0.284363125.1|[11,18,19,13,13,1,6,-1,1]
8.0.303595776.1|[81,0,45,0,16,0,5,0,1]
8.0.316180889.1|[16,-24,12,4,-7,2,3,-3,1]
8.0.339738624.1|[4,0,-8,0,14,0,-4,0,1]
8.0.339738624.2|[4,0,8,0,14,0,4,0,1]
8.0.342102016.2|[8,-8,9,-2,3,20,3,-2,1]
8.0.346890625.1|[121,-11,-50,31,9,1,0,-1,1]
8.0.349241344.2|[17,-52,96,-100,81,-40,18,-4,1]
8.0.371495353.1|[3,5,4,-4,14,-13,10,-4,1]
8.0.372668125.1|[11,-15,30,-24,18,-5,4,-1,1]
8.0.384160000.1|[16,0,-36,0,37,0,-9,0,1]
8.0.386672896.3|[16,0,-4,-4,2,-2,-1,0,1]
