# format: CM field label|CM field coeffs|reflex field coeffs

8.0.23549664681.1|[139,244,154,52,18,14,4,-1,1]|[343,-98,-42,29,-6,-2,1]
8.0.23773939344.1|[36,0,132,0,85,0,17,0,1]|[10,-44,61,-35,20,-3,1]
8.0.24166878849.1|[1,0,38,0,47,0,13,0,1]|[13,-40,53,-27,16,-3,1]
8.0.25606400400.1|[4,0,31,0,47,0,17,0,1]|[89,-75,92,-35,20,-3,1]
8.0.25846028289.1|[256,-64,-16,-12,29,-3,-1,-1,1]|[4,-23,52,-59,32,-3,1]
8.0.27758225664.1|[25,0,148,0,110,0,20,0,1]|[50,-70,8,20,6,-2,1]
8.0.27950489856.1|[52,-124,202,-172,127,-52,22,-4,1]|[12,0,36,0,15,0,1]
8.0.28327919481.1|[73,95,45,35,12,-7,5,-3,1]|[4,-19,38,-39,22,-3,1]
8.0.29032070544.1|[4,0,24,0,40,0,15,0,1]|[47,-55,70,-31,18,-3,1]
8.0.29586752064.1|[4,0,31,0,59,0,17,0,1]|[41,-69,86,-35,20,-3,1]
8.0.30181070529.1|[9,21,70,-43,53,-7,8,-1,1]|[48,0,61,0,17,0,1]
8.0.30409779456.1|[25,0,82,0,59,0,14,0,1]|[12,0,29,0,14,0,1]
8.0.31015436544.2|[21,-102,232,-282,197,-70,28,-4,1]|[110,31,-53,-14,12,-3,1]
8.0.31205929104.1|[4,0,68,0,53,0,13,0,1]|[10,-28,41,-27,16,-3,1]
8.0.31435290000.2|[36,36,84,-36,64,-4,9,-1,1]|[27,-9,6,-9,2,-1,1]
8.0.31816213641.1|[16,4,29,9,47,12,11,-2,1]|[415,283,44,-5,-7,-2,1]
8.0.32897616129.1|[16,0,83,0,98,0,19,0,1]|[43,-94,113,-39,22,-3,1]
8.0.32956408521.1|[9,0,45,0,55,0,14,0,1]|[3,0,37,0,14,0,1]
8.0.33481314441.1|[84,90,43,21,15,-4,9,-3,1]|[40,-66,87,-43,24,-3,1]
8.0.35283489921.1|[9,0,48,0,54,0,15,0,1]|[16,-45,60,-31,18,-3,1]
8.0.36404640000.7|[4,4,16,-12,34,-4,6,0,1]|[343,-98,-7,-2,-1,-2,1]
8.0.38296924416.1|[31,160,238,80,35,32,4,-2,1]|[48,0,96,0,24,0,1]
8.0.39475331856.1|[625,-250,-50,50,-3,10,-2,-2,1]|[343,-49,-42,19,-6,-1,1]
8.0.41870981376.7|[1,6,46,-60,99,-12,10,0,1]|[146,-126,52,-14,4,0,1]
8.0.45159650064.1|[625,-250,-50,40,-21,8,-2,-2,1]|[180,138,17,8,1,-2,1]
8.0.47237110281.1|[9,0,60,0,82,0,19,0,1]|[36,-81,100,-39,22,-3,1]
8.0.48097753344.1|[1,0,30,0,79,0,18,0,1]|[48,0,85,0,18,0,1]
8.0.49369284864.1|[219,228,70,72,23,4,10,-2,1]|[75,0,139,0,25,0,1]
8.0.50156289936.1|[16,0,128,0,104,0,19,0,1]|[61,-91,110,-39,22,-3,1]
8.0.53562159225.1|[163,300,168,-6,-10,12,0,-3,1]|[181,-164,193,-59,32,-3,1]
8.0.54151151616.11|[4,0,80,0,68,0,16,0,1]|[3,0,11,0,7,0,1]
8.0.56248660224.2|[36,36,72,-12,42,0,10,-2,1]|[12,0,36,0,24,0,1]
8.0.57196070649.1|[25,0,333,0,145,0,21,0,1]|[68,-73,94,-43,24,-3,1]
8.0.57364082064.1|[25,0,92,0,74,0,16,0,1]|[12,0,44,0,16,0,1]
8.0.58246926336.1|[625,-250,250,-160,57,-32,10,-2,1]|[3,0,13,0,8,0,1]
8.0.58594980096.6|[36,192,310,94,-45,-4,6,-2,1]|[180,-36,81,66,4,-2,1]
8.0.58664715264.6|[4,0,56,0,125,0,22,0,1]|[198,114,52,-14,-5,-3,1]
8.0.59610199104.1|[4,0,32,0,41,0,13,0,1]|[10,-34,47,-27,16,-3,1]
8.0.62748747009.1|[64,0,123,0,70,0,15,0,1]|[5,-22,37,-31,18,-3,1]
8.0.64560711744.1|[64,0,144,0,97,0,21,0,1]|[92,-88,109,-43,24,-3,1]
8.0.65940076944.1|[64,0,139,0,83,0,17,0,1]|[11,-39,56,-35,20,-3,1]
8.0.66872408409.1|[1,0,36,0,58,0,15,0,1]|[14,-55,70,-31,18,-3,1]
8.0.67558406400.5|[25,-120,206,-190,141,-58,24,-4,1]|[75,0,71,0,17,0,1]
8.0.69423818256.1|[64,0,160,0,89,0,17,0,1]|[8,-36,53,-35,20,-3,1]
8.0.71040906225.1|[9,9,30,-15,49,1,8,-1,1]|[40,-65,82,-35,20,-3,1]
8.0.71256963600.1|[172,208,136,64,30,8,7,-1,1]|[12,0,52,0,20,0,1]
8.0.74227912704.2|[43,-94,156,-138,105,-46,20,-4,1]|[3,0,11,0,10,0,1]
8.0.74640425616.1|[463,-562,774,-450,291,-82,32,-4,1]|[3,0,83,0,25,0,1]
8.0.77680378944.3|[4,0,84,0,85,0,18,0,1]|[48,0,73,0,18,0,1]
8.0.81889834896.1|[4,0,39,0,79,0,21,0,1]|[131,-115,136,-43,24,-3,1]
8.0.82338580809.1|[259,156,180,6,32,-12,6,-3,1]|[75,0,82,0,23,0,1]
8.0.84422789136.1|[625,0,150,-90,13,-18,6,0,1]|[537,-243,274,-63,34,-3,1]
8.0.84862681344.3|[9,12,37,-28,46,-8,7,0,1]|[1252,298,198,-36,8,-1,1]
8.0.85508871561.1|[228,156,175,27,38,-5,7,-2,1]|[33,-54,73,-39,22,-3,1]
8.0.90041404761.1|[1,0,96,0,70,0,15,0,1]|[32,-49,64,-31,18,-3,1]
8.0.91342368441.1|[9,0,96,0,94,0,19,0,1]|[18,-75,94,-39,22,-3,1]
8.0.91669067361.1|[109,-351,512,-346,234,-76,30,-4,1]|[147,0,110,0,23,0,1]
8.0.92998161936.1|[625,-125,25,10,-42,2,1,-1,1]|[25,-107,142,-71,38,-3,1]
8.0.93547892736.2|[9,18,54,-24,45,0,10,-2,1]|[3,0,12,0,9,0,1]
8.0.94585772304.1|[4,0,92,0,149,0,25,0,1]|[46,-148,173,-51,28,-3,1]
8.0.97649375121.1|[732,222,247,27,69,-14,15,-3,1]|[72,-114,139,-51,28,-3,1]
8.0.99071969049.1|[25,0,107,0,74,0,16,0,1]|[27,0,44,0,16,0,1]
8.0.106832883609.1|[169,-247,335,164,60,-36,-9,-1,1]|[12,0,137,0,26,0,1]
8.0.109532535849.1|[225,0,303,0,130,0,20,0,1]|[3,0,40,0,20,0,1]
8.0.109693440000.52|[292,-352,486,-288,195,-64,26,-4,1]|[3,0,17,0,11,0,1]
8.0.112133228769.1|[256,-192,48,36,-41,9,3,-3,1]|[166,-221,250,-59,32,-3,1]
8.0.113517781776.1|[1,7,59,-68,106,-4,11,-1,1]|[48,0,89,0,22,0,1]
8.0.114612039936.1|[49,-144,238,-206,149,-58,24,-4,1]|[27,0,55,0,17,0,1]
8.0.114740045289.1|[16,-4,41,26,94,22,14,-2,1]|[220,-142,167,-51,28,-3,1]
8.0.115179463161.1|[733,-1174,804,-208,-69,56,-7,-3,1]|[28,-109,134,-51,28,-3,1]
8.0.115987243761.1|[1,0,34,0,71,0,17,0,1]|[17,-72,89,-35,20,-3,1]
8.0.116429041089.1|[27,-99,172,-162,122,-52,22,-4,1]|[27,0,46,0,15,0,1]
8.0.118223194896.1|[4,0,103,0,83,0,17,0,1]|[17,-57,74,-35,20,-3,1]
8.0.118725039225.1|[121,0,179,0,86,0,16,0,1]|[3,0,20,0,16,0,1]
8.0.119563808400.1|[1084,920,324,116,-18,-22,-1,-3,1]|[343,-49,0,-3,0,-1,1]
8.0.119694548961.1|[301,124,154,0,46,-10,12,-3,1]|[27,0,134,0,23,0,1]
8.0.120305616201.1|[4,18,97,-68,71,-10,9,-1,1]|[75,0,82,0,19,0,1]
8.0.121030931025.1|[256,-64,64,16,11,4,4,-1,1]|[75,0,84,0,24,0,1]
8.0.122022366489.1|[1,15,86,165,137,33,-8,-3,1]|[343,-49,0,-6,0,-1,1]
8.0.122418813456.1|[208,228,141,57,8,-15,0,-3,1]|[253,-227,256,-59,32,-3,1]
8.0.122702383521.1|[4,0,27,0,46,0,15,0,1]|[29,-52,67,-31,18,-3,1]
8.0.123839944281.1|[121,0,181,0,89,0,17,0,1]|[8,-27,44,-35,20,-3,1]
8.0.127689016896.1|[1132,890,261,149,-12,-19,2,-3,1]|[343,-98,0,0,0,-2,1]
8.0.132656936841.1|[225,0,312,0,142,0,23,0,1]|[52,-77,100,-47,26,-3,1]
8.0.136539857169.1|[9,0,78,0,115,0,25,0,1]|[225,-162,187,-51,28,-3,1]
8.0.137759745600.1|[208,220,163,39,10,-13,0,-3,1]|[41,-129,158,-59,32,-3,1]
8.0.137779788969.1|[9,0,54,0,67,0,17,0,1]|[25,-62,79,-35,20,-3,1]
8.0.138214419984.1|[183,228,154,36,17,4,4,-2,1]|[15,-51,76,-51,28,-3,1]
8.0.142428495609.1|[49,-14,74,34,91,14,11,-1,1]|[26,-105,128,-47,26,-3,1]
8.0.142448875776.1|[36,36,84,-24,70,4,12,-2,1]|[3,0,19,0,21,0,1]
8.0.145790330625.1|[529,0,601,0,215,0,26,0,1]|[343,-98,-42,33,-6,-2,1]
8.0.148108752801.1|[25,0,178,0,95,0,17,0,1]|[23,-42,59,-35,20,-3,1]
8.0.149441776929.1|[4,0,111,0,85,0,18,0,1]|[75,0,73,0,18,0,1]
8.0.149880476736.1|[513,513,196,99,-6,-17,0,-3,1]|[48,0,136,0,27,0,1]
8.0.151032499641.1|[1,0,32,0,86,0,19,0,1]|[22,-91,110,-39,22,-3,1]
8.0.152462916225.1|[111,-171,256,-186,134,-52,22,-4,1]|[3,0,22,0,15,0,1]
8.0.154663652529.1|[192,-528,748,-468,305,-88,34,-4,1]|[192,0,148,0,27,0,1]
8.0.155088678969.1|[189,63,28,23,-41,5,8,-3,1]|[92,-145,172,-55,30,-3,1]
8.0.157051312209.1|[1201,643,279,10,-96,-17,2,0,1]|[343,-98,0,-9,0,-2,1]
8.0.159371019369.1|[48,-228,457,-420,158,-2,-8,-2,1]|[192,0,121,0,21,0,1]
8.0.160148034225.1|[61,-205,318,-246,174,-64,26,-4,1]|[75,0,74,0,19,0,1]
8.0.164674451601.1|[121,0,203,0,104,0,19,0,1]|[16,-46,65,-39,22,-3,1]
8.0.170532657936.1|[64,0,236,0,116,0,19,0,1]|[19,-49,68,-39,22,-3,1]
8.0.173398953744.1|[196,0,320,0,149,0,22,0,1]|[12,0,65,0,22,0,1]
8.0.176017167936.1|[657,357,184,51,42,-5,12,-3,1]|[90,-138,169,-63,34,-3,1]
8.0.176470567056.1|[4,0,96,0,172,0,27,0,1]|[59,-175,202,-55,30,-3,1]
8.0.179256551769.1|[256,-128,16,32,-37,8,1,-2,1]|[88,-102,129,-55,30,-3,1]
8.0.179637802569.1|[49,0,188,0,110,0,19,0,1]|[118,-97,116,-39,22,-3,1]
8.0.183989523600.1|[1296,-216,-396,36,72,6,-11,-1,1]|[36,-108,133,-51,28,-3,1]
8.0.184151698641.1|[559,-591,782,-406,264,-76,30,-4,1]|[27,0,50,0,23,0,1]
8.0.189778724496.1|[208,268,127,3,4,11,6,-3,1]|[27,0,155,0,29,0,1]
8.0.189943430625.2|[1,-15,84,-135,82,0,-9,0,1]|[27,-18,6,-3,2,-2,1]
8.0.191003961600.1|[12,-60,130,-156,119,-52,22,-4,1]|[12,0,52,0,15,0,1]
8.0.193252556025.1|[256,-64,48,-20,29,-5,3,-1,1]|[75,0,176,0,28,0,1]
8.0.194108092929.1|[121,0,202,0,95,0,17,0,1]|[5,-24,41,-35,20,-3,1]
8.0.194131884816.1|[4,0,28,0,53,0,17,0,1]|[62,-72,89,-35,20,-3,1]
8.0.196741925136.3|[324,0,372,0,141,0,21,0,1]|[10,-36,57,-43,24,-3,1]
8.0.198630662400.1|[625,-500,100,-50,45,-10,4,-4,1]|[300,0,196,0,32,0,1]
8.0.198799165161.1|[181,-360,530,-364,243,-76,30,-4,1]|[48,0,92,0,23,0,1]
8.0.199811682009.1|[199,252,120,66,2,-12,0,-3,1]|[79,-206,235,-59,32,-3,1]
8.0.202767388209.1|[196,0,251,0,110,0,19,0,1]|[13,-34,53,-39,22,-3,1]
8.0.203408216064.6|[1,10,112,-116,163,4,16,-2,1]|[12,0,27,0,12,0,1]
8.0.204448665600.3|[2401,-686,294,-112,-19,-16,6,-2,1]|[3,0,11,0,8,0,1]
8.0.204912844929.1|[4,0,99,0,70,0,15,0,1]|[17,-40,55,-31,18,-3,1]
8.0.208645227729.1|[1,0,131,0,104,0,19,0,1]|[40,-82,101,-39,22,-3,1]
8.0.210524051241.1|[25,0,72,0,58,0,15,0,1]|[14,-37,52,-31,18,-3,1]
8.0.211342478400.1|[36,0,204,0,181,0,26,0,1]|[48,0,145,0,26,0,1]
8.0.212809683969.1|[9,0,141,0,127,0,22,0,1]|[75,0,109,0,22,0,1]
8.0.214032068496.1|[64,0,140,0,92,0,19,0,1]|[12,0,44,0,19,0,1]
8.0.214306962489.1|[256,-32,212,58,151,17,14,-1,1]|[23,-99,128,-59,32,-3,1]
8.0.215809489809.1|[4,0,31,0,53,0,14,0,1]|[3,0,41,0,14,0,1]
8.0.216261271521.1|[625,-125,-200,-5,57,-1,-8,-1,1]|[160,-119,142,-47,26,-3,1]
8.0.218956613184.1|[676,0,976,0,281,0,29,0,1]|[50,-90,119,-59,32,-3,1]
8.0.220475324304.1|[196,0,500,0,197,0,25,0,1]|[34,-88,113,-51,28,-3,1]
8.0.226679779881.1|[9,-9,42,39,115,17,12,-1,1]|[180,-159,184,-51,28,-3,1]
8.0.227460317184.2|[9,-72,228,-288,147,0,-12,0,1]|[48,0,84,0,18,0,1]
8.0.228844554129.1|[16,4,41,-2,97,8,11,-1,1]|[3,0,86,0,23,0,1]
8.0.229283914896.1|[292,156,111,27,38,-9,12,-3,1]|[55,-89,112,-47,26,-3,1]
8.0.230604525369.1|[400,0,403,0,140,0,20,0,1]|[3,0,20,0,20,0,1]
8.0.230708263041.1|[16,0,228,0,133,0,21,0,1]|[104,-106,127,-43,24,-3,1]
8.0.238766117769.1|[25,0,108,0,70,0,15,0,1]|[8,-31,46,-31,18,-3,1]
8.0.240060801600.1|[400,0,452,0,161,0,22,0,1]|[12,0,41,0,22,0,1]
8.0.240140181681.1|[237,207,121,92,-2,-19,-4,0,1]|[3,0,154,0,27,0,1]
8.0.242820301824.1|[64,0,400,0,185,0,26,0,1]|[192,0,137,0,26,0,1]
8.0.244953725184.1|[36,0,132,0,112,0,20,0,1]|[12,0,76,0,20,0,1]
8.0.245675861649.1|[241,220,94,60,16,-10,6,-3,1]|[5,-24,47,-47,26,-3,1]
8.0.246747647169.1|[841,0,781,0,227,0,26,0,1]|[343,-98,-42,27,-6,-2,1]
8.0.250976952576.11|[112,-288,452,-352,237,-76,30,-4,1]|[48,0,104,0,23,0,1]
8.0.251301690000.1|[16,0,352,0,164,0,23,0,1]|[161,-123,146,-47,26,-3,1]
8.0.253118665881.1|[121,0,254,0,143,0,22,0,1]|[12,0,77,0,22,0,1]
8.0.254315464209.1|[25,0,73,0,59,0,14,0,1]|[3,0,29,0,14,0,1]
8.0.256416653376.1|[4,-18,5,99,128,33,-8,-3,1]|[277,-169,194,-51,28,-3,1]
8.0.258471576801.1|[147,-639,1063,-813,260,-2,-11,-2,1]|[507,0,214,0,27,0,1]
8.0.259020941481.1|[9,45,258,-159,133,-19,12,-1,1]|[27,0,100,0,24,0,1]
8.0.261141440400.1|[529,0,535,0,176,0,23,0,1]|[8,-36,59,-47,26,-3,1]
8.0.263390662656.10|[183,-384,372,-30,15,-30,4,-2,1]|[3,0,18,0,9,0,1]
8.0.265352735376.1|[4,0,36,0,52,0,15,0,1]|[17,-49,64,-31,18,-3,1]
8.0.265436192025.5|[49,70,170,-86,103,-10,11,-1,1]|[12,0,137,0,25,0,1]
8.0.265547487969.1|[793,872,608,158,6,-30,-6,-1,1]|[75,0,302,0,35,0,1]
8.0.268141694976.1|[1296,-432,36,-108,63,-18,1,-2,1]|[12,0,37,0,12,0,1]
8.0.269037241344.1|[1348,352,74,160,-69,-24,3,-2,1]|[343,-49,-21,-6,-3,-1,1]
8.0.281044178496.1|[148,666,723,-185,4,-27,-2,-1,1]|[48,0,89,0,38,0,1]
8.0.283799121984.1|[1396,482,441,-7,84,-7,14,-3,1]|[83,-159,188,-59,32,-3,1]
8.0.286798807296.1|[9,0,114,0,127,0,22,0,1]|[48,0,109,0,22,0,1]
8.0.287145939600.1|[228,240,88,64,10,-8,5,-3,1]|[5,-25,52,-55,30,-3,1]
8.0.289930556304.1|[16,0,291,0,139,0,21,0,1]|[137,-103,124,-43,24,-3,1]
8.0.294337715841.1|[4,0,35,0,62,0,19,0,1]|[109,-94,113,-39,22,-3,1]
8.0.296715520656.1|[64,0,256,0,161,0,29,0,1]|[404,-204,233,-59,32,-3,1]
8.0.306561542400.1|[13,-72,158,-190,141,-58,24,-4,1]|[27,0,71,0,17,0,1]
8.0.311454402561.1|[400,0,452,0,173,0,25,0,1]|[64,-82,107,-51,28,-3,1]
8.0.312479882001.1|[247,171,117,36,-43,-18,0,0,1]|[70,-107,136,-59,32,-3,1]
8.0.316416375081.1|[1,18,120,216,163,36,-9,-3,1]|[512,-217,244,-55,30,-3,1]
8.0.316416375081.2|[79,-311,651,-594,213,-2,-10,-2,1]|[300,0,161,0,25,0,1]
8.0.317541266064.1|[64,0,187,0,95,0,17,0,1]|[11,-33,50,-35,20,-3,1]
8.0.333936048384.1|[1,8,74,-76,115,4,14,-2,1]|[75,0,107,0,25,0,1]
8.0.342351371664.1|[64,0,243,0,235,0,33,0,1]|[509,209,0,9,4,-3,1]
8.0.342572578209.1|[400,0,488,0,185,0,25,0,1]|[28,-76,101,-51,28,-3,1]
8.0.347552695296.1|[709,-822,1100,-586,369,-94,36,-4,1]|[27,0,119,0,29,0,1]
8.0.356007928896.1|[1296,-216,36,72,-54,12,1,-1,1]|[192,0,169,0,34,0,1]
8.0.357039710784.1|[49,7,71,4,94,8,11,-1,1]|[172,-208,239,-63,34,-3,1]
8.0.364401773649.1|[121,0,295,0,152,0,23,0,1]|[20,-84,107,-47,26,-3,1]
8.0.367014237489.1|[289,0,411,0,184,0,27,0,1]|[116,-124,151,-55,30,-3,1]
8.0.368979708969.1|[2401,-343,294,7,71,1,6,-1,1]|[343,-49,-42,18,-6,-1,1]
8.0.376231344129.1|[49,0,174,0,127,0,21,0,1]|[107,-118,139,-43,24,-3,1]
8.0.380216524689.1|[625,-125,225,-45,61,-9,9,-1,1]|[243,0,241,0,30,0,1]
8.0.380916089856.1|[400,0,568,0,209,0,26,0,1]|[343,0,-35,-8,-5,0,1]
8.0.384222700449.1|[196,0,299,0,122,0,19,0,1]|[7,-28,47,-39,22,-3,1]
8.0.390136402881.1|[64,0,195,0,166,0,27,0,1]|[125,-160,187,-55,30,-3,1]
8.0.390406280625.2|[36,0,123,0,118,0,23,0,1]|[343,-98,-14,33,-2,-2,1]
8.0.390406280625.4|[121,0,290,0,167,0,25,0,1]|[89,-115,55,4,4,-1,1]
8.0.394906669056.1|[121,0,312,0,166,0,24,0,1]|[48,0,61,0,16,0,1]
8.0.398034810000.2|[196,0,279,0,127,0,21,0,1]|[23,-55,76,-43,24,-3,1]
8.0.405805946841.1|[289,0,333,0,133,0,21,0,1]|[20,-43,64,-43,24,-3,1]
8.0.407907032976.1|[2401,-686,0,98,-97,14,0,-2,1]|[343,-49,-42,15,-6,-1,1]
8.0.411640294464.1|[292,-820,476,296,117,-45,-12,-1,1]|[76,-304,341,-75,40,-3,1]
8.0.415355759361.1|[4,0,51,0,58,0,15,0,1]|[11,-46,61,-31,18,-3,1]
8.0.415669036176.1|[1129,-1032,1324,-614,383,-94,36,-4,1]|[461,257,36,-15,-8,-3,1]
8.0.416888457561.1|[28,-120,209,-196,144,-58,24,-4,1]|[48,0,65,0,17,0,1]
8.0.421959373056.1|[1,6,49,-78,168,-12,13,0,1]|[27,0,71,0,29,0,1]
8.0.423750223521.1|[1929,-1083,259,-148,-24,40,-9,-1,1]|[192,0,244,0,35,0,1]
8.0.424805436441.1|[625,-125,175,25,27,5,7,-1,1]|[147,0,121,0,26,0,1]
8.0.428438320704.1|[196,0,608,0,209,0,25,0,1]|[70,-82,107,-51,28,-3,1]
8.0.434681764416.1|[4,0,48,0,73,0,21,0,1]|[170,-118,139,-43,24,-3,1]
8.0.440647698969.1|[4,0,59,0,68,0,16,0,1]|[27,0,56,0,16,0,1]
8.0.442837011600.1|[4,0,72,0,64,0,15,0,1]|[11,-43,58,-31,18,-3,1]
8.0.444815633025.1|[100,70,149,-50,97,-4,11,-1,1]|[243,0,242,0,31,0,1]
8.0.447701501025.1|[109,-303,466,-350,236,-76,30,-4,1]|[75,0,106,0,23,0,1]
8.0.452180933136.1|[625,0,-150,-30,37,-6,-6,0,1]|[75,0,103,0,25,0,1]
8.0.452229350400.1|[100,120,274,-156,159,-24,13,0,1]|[218,126,-20,14,7,-3,1]
8.0.452314086849.1|[121,77,148,-41,77,-5,10,-1,1]|[409,-126,171,-37,21,-3,1]
8.0.454811313609.1|[775,-835,266,59,-39,-15,6,-1,1]|[196,-343,380,-75,40,-3,1]
8.0.458314106121.1|[25,0,73,0,65,0,17,0,1]|[38,-57,74,-35,20,-3,1]
8.0.459228496896.1|[196,0,356,0,149,0,22,0,1]|[194,126,40,-10,-5,-3,1]
