CM_field_label|base_field|quadric|cubic
8.0.3318796881.1|x^4-x^3-7*x^2+4*x+1|(2663107289439431302*K.1^3-3167244187713611698*K.1^2-18042178988970538386*K.1+14067886050360883782)*X^2+(-1713501054812571*K.1^3+2037873681446166*K.1^2+11608729716996995*K.1-9051583345102462)*Y^2+(-4378830510394101332743*K.1^3+5207760699984113529782*K.1^2+29665963571435272334059*K.1-23131208006886489702211)*T^2|(-42215206389480690418163614603009110940025037978144584267929722867440*K.1^3+50206714385332518421776208424231770684114894735714673218173142746640*K.1^2+286002112193815309910917585928091847617692817700417345251737211889680*K.1-223002173235827665808911235414624872359236061422058242521840334708720)*X^3+(2562303736022229163250014723617227550766084816438787107901966989080*K.1^3-3047358116789750251378504822379279245959113641333873089939361456080*K.1^2-17359249030393678873271211596883662465831486012673094199099665725600*K.1+13535390455075935654400388843163660958003790753301400923238694269320)*X^2*Y+(-3683191445165487922665403991680966145935630379982459451630755069066384*K.1^3+4380434367839616092750568275681955933841948199244229755256884677924928*K.1^2+24953106309910404156481471945989112725306750441259120335128156675481600*K.1-19456488951814799682808270993889022169757054931778142405905608408257616)*X^2*T+(-50504882505508265471710899542782643337780818635005434302221647940*K.1^3+60065659459873675879856735668610846089685195623760436844066841280*K.1^2+342163507135551014873103956810838724495292908818340715147822122260*K.1-266792455160303294212287441840292837522762187924914206732172636080)*X*Y^2+(157424530123908504664081058286861887776755943680643929503232053097120*K.1^3-187225625483279262788595137369617101763038815424175318280691309025440*K.1^2-1066529148552875212483825393633854720806754451873311085002731964015840*K.1+831596368720074170238336885907228444683935590567265700771539299713120)*X*Y*T+(-79173241400520613292924450801429720187106619029440647533715048271150000*K.1^3+94161053751177008550545881432413844576843068537621130461078511036704000*K.1^2+536387624422988657812826086273585259709963331872862911856254546561846000*K.1-418233295641080326976177861109651064771482911002117931704811504036280000)*X*T^2+(320872533391780527665070900037963843333793154690309769676235210*K.1^3-381614991751254887382021344458114968611183770235909905736069055*K.1^2-2173866484232026362424388229496094359391935832491429024996592220*K.1+1695011783618404676816265143710875889970875211027294188546021485)*Y^3+(-1631434585488806783281738916995177970357662184777676233738144306052*K.1^3+1940271700114207863690780281637970715170164351369411363836717112894*K.1^2+11052740878512144266968291877514239188515410963605302652002365144244*K.1-8618066549279069734927131431177389274803287188403214289954081512878)*Y^2*T+(1753126413709484884293753557272969952502537674692001647519136880527400*K.1^3-2085000279814506988121089222224635128616547331638381966076096542682500*K.1^2-11877185975066580906213524647577827038461864916026664999623383576870800*K.1+9260904627763851290148157334259119928543259764475225834636037959571100)*Y*T^2+(-2720314142098331889085612530029325*K.1^3+3235280526894279329789578955900550*K.1^2+18429747406486550013788334592253325*K.1-14370081718308118172836644507151725)*Z^3+(-628999823907064794261128844582546135134439030520269003455691163901492012*K.1^3+748072014997791223855496216527541217288157857355461531494702896565309920*K.1^2+4261385732601446061649536579485240522048255151488497365257180926182178140*K.1-3322696717436417291627704951586095436867543160530751059777684616073607396)*T^3
8.0.3318796881.1|x^4-x^3-7*x^2+4*x+1|(2663107289439431302*K.1^3-3167244187713611698*K.1^2-18042178988970538386*K.1+14067886050360883782)*X^2+(-1713501054812571*K.1^3+2037873681446166*K.1^2+11608729716996995*K.1-9051583345102462)*Y^2+(-4378830510394101332743*K.1^3+5207760699984113529782*K.1^2+29665963571435272334059*K.1-23131208006886489702211)*T^2|(42215206389480690418163614603009110940025037978144584267929722867440*K.1^3-50206714385332518421776208424231770684114894735714673218173142746640*K.1^2-286002112193815309910917585928091847617692817700417345251737211889680*K.1+223002173235827665808911235414624872359236061422058242521840334708720)*X^3+(-2562303736022229163250014723617227550766084816438787107901966989080*K.1^3+3047358116789750251378504822379279245959113641333873089939361456080*K.1^2+17359249030393678873271211596883662465831486012673094199099665725600*K.1-13535390455075935654400388843163660958003790753301400923238694269320)*X^2*Y+(3683191445165487922665403991680966145935630379982459451630755069066384*K.1^3-4380434367839616092750568275681955933841948199244229755256884677924928*K.1^2-24953106309910404156481471945989112725306750441259120335128156675481600*K.1+19456488951814799682808270993889022169757054931778142405905608408257616)*X^2*T+(50504882505508265471710899542782643337780818635005434302221647940*K.1^3-60065659459873675879856735668610846089685195623760436844066841280*K.1^2-342163507135551014873103956810838724495292908818340715147822122260*K.1+266792455160303294212287441840292837522762187924914206732172636080)*X*Y^2+(-157424530123908504664081058286861887776755943680643929503232053097120*K.1^3+187225625483279262788595137369617101763038815424175318280691309025440*K.1^2+1066529148552875212483825393633854720806754451873311085002731964015840*K.1-831596368720074170238336885907228444683935590567265700771539299713120)*X*Y*T+(79173241400520613292924450801429720187106619029440647533715048271150000*K.1^3-94161053751177008550545881432413844576843068537621130461078511036704000*K.1^2-536387624422988657812826086273585259709963331872862911856254546561846000*K.1+418233295641080326976177861109651064771482911002117931704811504036280000)*X*T^2+(-320872533391780527665070900037963843333793154690309769676235210*K.1^3+381614991751254887382021344458114968611183770235909905736069055*K.1^2+2173866484232026362424388229496094359391935832491429024996592220*K.1-1695011783618404676816265143710875889970875211027294188546021485)*Y^3+(1631434585488806783281738916995177970357662184777676233738144306052*K.1^3-1940271700114207863690780281637970715170164351369411363836717112894*K.1^2-11052740878512144266968291877514239188515410963605302652002365144244*K.1+8618066549279069734927131431177389274803287188403214289954081512878)*Y^2*T+(-1753126413709484884293753557272969952502537674692001647519136880527400*K.1^3+2085000279814506988121089222224635128616547331638381966076096542682500*K.1^2+11877185975066580906213524647577827038461864916026664999623383576870800*K.1-9260904627763851290148157334259119928543259764475225834636037959571100)*Y*T^2+(-2720314142098331889085612530029325*K.1^3+3235280526894279329789578955900550*K.1^2+18429747406486550013788334592253325*K.1-14370081718308118172836644507151725)*Z^3+(628999823907064794261128844582546135134439030520269003455691163901492012*K.1^3-748072014997791223855496216527541217288157857355461531494702896565309920*K.1^2-4261385732601446061649536579485240522048255151488497365257180926182178140*K.1+3322696717436417291627704951586095436867543160530751059777684616073607396)*T^3
8.0.88952455805.1|||
8.0.40020731528.1|||
8.0.64654249984.1|||
8.0.178705725696.1|||
8.0.56834560000.8|||
8.0.5107336533.1|||
8.0.7660625625.1|x^2-x-1|(-13776076*K.1-8506343)*X^2+(-576*K.1-356)*Y^2+(11007779262736*K.1+6854691821216)*Z^2|(-40911775709994814795262234287570914425414353665297742162177658170466503906250*K.1-25285094998365142523876747437282756543248440377724628998649763025527392578125)*X^3+(-632710556509962471280147978384680126883645940587337906961902714987681250000*K.1-391037886109838307667817460969891945893078433704148248811289299283835156250)*X^2*Y+(197639202747957768783656021356795804623425208652981394841627807665217105576562500*K.1+122150227628220008561266120500007834278663765078424785368884438390902087194062500)*X^2*Z+(-373330397604578358994237784080051245942951150709605268041937612500000000*K.1-230733241105800477600611372243412910286168215724160879047189400000000000)*X*Y^2+(-417794210161485772147850645800982323618320550514917754348496529307218593750000*K.1-258202334501531551443656128115692293405475884615592067539918123731530156250000)*X*Y*Z+(-105449030384866572607804390326414262444330131763040836359426356084862877792968750000*K.1-65176363633653672867378932944273490069607911449904850074674739569274904375000000000)*X*Z^2+(-15967073950287492535390267859310836157432185067011886226641098550000000*K.1-9868195907710087271768729022565454012343456875519761888201493100000000)*Y^3+(-2878816461218699006871187641875661950886056961763087148484390544995840000000*K.1-1779198229562024085058556971729672486792008441985584463640226415935960000000)*Y^2*Z+(-1424082909623290998228518198495646177433728570166018091708151954888359781187500000*K.1-880142003175122329315391055540011058764625425731190923450505203861380436125000000)*Y*Z^2+(34385409994206042874843524980307632118133864197640114421805188354318225560518440000000*K.1+21257165643024067351606294327969774361247540872661984123688955307865284556663735000000)*Z^3-138909358050624*T^3
8.0.7660625625.1|x^2-x-1|(-13776076*K.1-8506343)*X^2+(-576*K.1-356)*Y^2+(11007779262736*K.1+6854691821216)*Z^2|(-40911775709994814795262234287570914425414353665297742162177658170466503906250*K.1-25285094998365142523876747437282756543248440377724628998649763025527392578125)*X^3+(632710556509962471280147978384680126883645940587337906961902714987681250000*K.1+391037886109838307667817460969891945893078433704148248811289299283835156250)*X^2*Y+(-197639202747957768783656021356795804623425208652981394841627807665217105576562500*K.1-122150227628220008561266120500007834278663765078424785368884438390902087194062500)*X^2*Z+(-373330397604578358994237784080051245942951150709605268041937612500000000*K.1-230733241105800477600611372243412910286168215724160879047189400000000000)*X*Y^2+(-417794210161485772147850645800982323618320550514917754348496529307218593750000*K.1-258202334501531551443656128115692293405475884615592067539918123731530156250000)*X*Y*Z+(-105449030384866572607804390326414262444330131763040836359426356084862877792968750000*K.1-65176363633653672867378932944273490069607911449904850074674739569274904375000000000)*X*Z^2+(15967073950287492535390267859310836157432185067011886226641098550000000*K.1+9868195907710087271768729022565454012343456875519761888201493100000000)*Y^3+(2878816461218699006871187641875661950886056961763087148484390544995840000000*K.1+1779198229562024085058556971729672486792008441985584463640226415935960000000)*Y^2*Z+(1424082909623290998228518198495646177433728570166018091708151954888359781187500000*K.1+880142003175122329315391055540011058764625425731190923450505203861380436125000000)*Y*Z^2+(-34385409994206042874843524980307632118133864197640114421805188354318225560518440000000*K.1-21257165643024067351606294327969774361247540872661984123688955307865284556663735000000)*Z^3-138909358050624*T^3
8.0.630831474001.3|||
8.0.19770609664.2|||
8.0.391881616.1|x^4-x^3-7*x^2+x+8|(28526021186776338852928*K.1^3-65184709883008807036160*K.1^2-115925473175027427654464*K.1+177550020490674673030656)*X^2+(52871036889*K.1^3+103720677547*K.1^2-66126797054*K.1-145111254537)*Y^2+(-50511780886960376430524916014134001664*K.1^3+142423526437429304907406841146353745920*K.1^2+94415824786072426818817516054448799744*K.1-222172200954239328670248274505401368576)*Z^2+(-5711956790729397680109459472384*K.1^3+11317642042311826446445305675776*K.1^2+30334661678531477843631375187968*K.1-41476478219187713909166516469760)*T^2|(1709809052724686000354801917952*K.1^3-1024102185916840736818743066624*K.1^2-10192768533593248884438344302592*K.1-4903209718713020796009917448192)*X^3+(-65302627788869385018804288*K.1^3-129485474144315530652504448*K.1^2+56446077110858693940030528*K.1+137863283265967297393021440)*X^2*Y+(-400322387848016915426448767460430577664*K.1^3+211190786953674346422915840627605766144*K.1^2+2054093800357292757350621784274171330560*K.1+1406156658899493209286419610983051821056)*X^2*Z+(-101768530937685437103959916311937024*K.1^3+160531656819596638401059262949621760*K.1^2+571467913894302107653548499887652864*K.1-299776354545702775399558200359911424)*X^2*T+(-780825309367105462494016*K.1^3-1520691431641254831410944*K.1^2+983653942305821003511232*K.1+2119108319796826338844160)*X*Y^2+(-682694903058376258579697894930522112*K.1^3-1326814832199140299558780848966426624*K.1^2+868667278068702872830983144251031552*K.1+1859322448294906185725559460991336448)*X*Y*Z+(111519890350758418345879806111744*K.1^3+216395877953685718556298693820416*K.1^2-143109928984264359820273644711936*K.1-304792659338767199915543518347264)*X*Y*T+(-81193010239554509721150192087710747221427748864*K.1^3-246674615740017931966024338051013420614420529152*K.1^2-205148654831105421865290875607136148315001323520*K.1-28405902568673397070310263108181465922923397120)*X*Z^2+(56825286571528718731897873958880295152254976*K.1^3+52648138750899392592651596508141324462981120*K.1^2-49416713047676129420693794902132248222367744*K.1-23783233202782351183505356462451266745794560)*X*Z*T+(3401449402366824945018136113114958528512*K.1^3-14410718839952268613363876754816022872064*K.1^2-42587079819571381441798144097590241394688*K.1+15628475591888843398067220947227574796288)*X*T^2+(-1434997102662693317619*K.1^3-2794531873817590878606*K.1^2+1808341084215513761883*K.1+3894932821108146869115)*Y^3+(-3602025136315237537192683056947200*K.1^3-7014619391981309088158425054003200*K.1^2+4539199651925891787606500937031680*K.1+9776801853649516552232573692477440)*Y^2*Z+(407608063094943597726993711104*K.1^3+793771445446528820357256876032*K.1^2-513685988386292220232810405888*K.1-1106370742816711637968180281344)*Y^2*T+(-1686911668046024916029220318899017113871417344*K.1^3-3285203176748323155595140635853197632713818112*K.1^2+2125520492544761798259020730736362619116453888*K.1+4578483981483286446216194688806152874527555584)*Y*Z^2+(541172602607517301354166889722062987001856*K.1^3+1053992245183070990713998584422951103496192*K.1^2-681641926843413849921522652204480989560832*K.1-1468627069281400605416715484898893207437312)*Y*Z*T+(-37422746981317270495387894048063537152*K.1^3-72973547923065199905044976342941073408*K.1^2+46866920166155561175812844713636659200*K.1+101360641964884921199543179862703341568)*Y*T^2+(-243375926355511671092787143779283940490154405579376820224*K.1^3-401361676884438921668988876908606418083276787455147114496*K.1^2+317417694748811028219189336253052432064325894251114135552*K.1+554342764910348578069607998262884783932987741492134019072)*Z^3+(124177874124193715624663884634854932403900837282185216*K.1^3+225445328266028672782391570779693884655934564091297792*K.1^2-152514227926697552291475603293431742949942031558901760*K.1-304858800172527226594907716039186930092925689136152576)*Z^2*T+(-21319967786841162593410590394624931693437378363392*K.1^3-37465428559981756473356447674495188480581072584704*K.1^2+28167039744074762379268206225089914580074279993344*K.1+52831545276668143368844836590382067163375792553984)*Z*T^2+(1266697948318921727668562759441982344736538624*K.1^3+1845468444141952234059578226865112861816913920*K.1^2-2485396314874427282622368307761503128860491776*K.1-3584546697357684705018484949652847709510434816)*T^3
8.0.391881616.1|x^4-x^3-7*x^2+x+8|(1826129626843307480859968*K.1^3-4174025531135010356054016*K.1^2-7416407916855935469945408*K.1+11362142664208252532350464)*X^2+(1432951601*K.1^3+51382334217*K.1^2+30340313360*K.1-106458867641)*Y^2+(-603105823546846493366723421446436814848*K.1^3+1696964172136887192804171582866220220416*K.1^2+1141681374744570335519179150121301344256*K.1-2664481047578575077741691783574025142272)*Z^2+(-5711956790729397680109459472384*K.1^3+11317642042311826446445305675776*K.1^2+30334661678531477843631375187968*K.1-41476478219187713909166516469760)*T^2|(-2123695035709188875790984862900224*K.1^3+4855078294282805434931158652239872*K.1^2+8621204215866759599962834978635776*K.1-13210512465261555719271794748424192)*X^3+(7369658745495692340562230336*K.1^3-16828772806646419541826602112*K.1^2-29914227434478020326366942272*K.1+45813575428071979606918884864)*X^2*Y+(40065449983126133589176307634552726093824*K.1^3-99261621960392345648645591780836829036544*K.1^2-131132787526946687883020371102108124971008*K.1+222997442418470843085397930900823180574720)*X^2*Z+(-50008732715529113324805923145709846528*K.1^3+113762237016416676880644871581519577088*K.1^2+205343991601960297085045001405913038848*K.1-313024821265727955414025937411155427328)*X^2*T+(46955235665809906419008*K.1^3+88480978914578724862208*K.1^2-61129982117708675534784*K.1-121199421171574344068608)*X*Y^2+(40405727431164011184304317605781504*K.1^3+78713029531534412537531066004037632*K.1^2-52134077058910300518640227751624704*K.1-108297505614633125837340297230548992)*X*Y*Z+(6202403035260224133576640819200*K.1^3+42291795657351306791421422051328*K.1^2+12092439646802540932496882184192*K.1-80520725817877951011751479115776)*X*Y*T+(218034343063050859447049264959531324628361805824*K.1^3-635966251301211787213444760833975039729990631424*K.1^2-159598926239730264718837396891575031231617171456*K.1+700035585041366268987340573989353463369795895296)*X*Z^2+(1105432167195341681867371831441865246886592512*K.1^3-2794505169799271825865624568134930634006069248*K.1^2-3272695978667443615700219768378830745521618944*K.1+5827338279982764685033918120581912953119309824)*X*Z*T+(-414557908958910876519883622379209946562560*K.1^3+931136209900789934106134098093239502635008*K.1^2+1771094584008701177613624866442560413106176*K.1-2658425957337983155493257476245798122422272)*X*T^2+(85002787080728898867*K.1^3+165535296234505653762*K.1^2-107118213814211658831*K.1-230717954195580949467)*Y^3+(213367350851935339750282295009280*K.1^3+415514142127398337709093739970560*K.1^2-268879502816583209051495999201280*K.1-579130993502850735319649582776320)*Y^2*Z+(48940896762580223147359408128*K.1^3+95308825297870004401538748416*K.1^2-61673459278828354553646788608*K.1-132839088314681432056504614912)*Y^2*T+(99865851940073933333505730121374260462845952*K.1^3+194755798650413232019913291832770406596247552*K.1^2-125726766816157846294887165338068715867602944*K.1-271571631642910351701201391365800831977783296)*Y*Z^2+(65061270532003294498160886764787918766080*K.1^3+126385853114506942130877680325876606173184*K.1^2-82213568355225837581529965895034773504000*K.1-175907107516475599123941527986052276944896)*Y*Z*T+(9085088548171263354133596016828465152*K.1^3+17843718578050993434148501921535361024*K.1^2-11348368984036744811057624669852172288*K.1-24975175718350088504405518445557579776)*Y*T^2+(2121886287717546650310327698527159140637140967343926542336*K.1^3-5921067924890722212269562505963362365528685051173520015360*K.1^2-3946610055393193901338062471303519494732835930927079096320*K.1+9226795342768499963675476371695842766562888227117756055552)*Z^3+(171283188546265949191854438717262577770575323121844224*K.1^3-413620995380089314823543823767112693100355545961857024*K.1^2-310454157643289063989932645641324356213898153256026112*K.1+648925935766784332681322668886235035719634873827196928)*Z^2*T+(14405507199342866588601520320816966653707775115264*K.1^3-16947431893480727671406227585544816621393597693952*K.1^2-24010977308497730159148561909562764533198437220352*K.1+28157486174590082346774972185904545257312474890240)*Z*T^2+(746318061658694811663461584973768281166970880*K.1^3+352832320824562610732655056917576299482972160*K.1^2-1041037873219353715378893370266693845173403648*K.1-578492395924130623022324446092864799046107136)*T^3
8.0.391881616.1|x^4-x^3-7*x^2+x+8|(-28526021186776338852928*K.1^3+65184709883008807036160*K.1^2+115925473175027427654464*K.1-177550020490674673030656)*X^2+(-52871036889*K.1^3-103720677547*K.1^2+66126797054*K.1+145111254537)*Y^2+(50511780886960376430524916014134001664*K.1^3-142423526437429304907406841146353745920*K.1^2-94415824786072426818817516054448799744*K.1+222172200954239328670248274505401368576)*Z^2+(5711956790729397680109459472384*K.1^3-11317642042311826446445305675776*K.1^2-30334661678531477843631375187968*K.1+41476478219187713909166516469760)*T^2|(1709809052724686000354801917952*K.1^3-1024102185916840736818743066624*K.1^2-10192768533593248884438344302592*K.1-4903209718713020796009917448192)*X^3+(-65302627788869385018804288*K.1^3-129485474144315530652504448*K.1^2+56446077110858693940030528*K.1+137863283265967297393021440)*X^2*Y+(-400322387848016915426448767460430577664*K.1^3+211190786953674346422915840627605766144*K.1^2+2054093800357292757350621784274171330560*K.1+1406156658899493209286419610983051821056)*X^2*Z+(-101768530937685437103959916311937024*K.1^3+160531656819596638401059262949621760*K.1^2+571467913894302107653548499887652864*K.1-299776354545702775399558200359911424)*X^2*T+(-780825309367105462494016*K.1^3-1520691431641254831410944*K.1^2+983653942305821003511232*K.1+2119108319796826338844160)*X*Y^2+(-682694903058376258579697894930522112*K.1^3-1326814832199140299558780848966426624*K.1^2+868667278068702872830983144251031552*K.1+1859322448294906185725559460991336448)*X*Y*Z+(111519890350758418345879806111744*K.1^3+216395877953685718556298693820416*K.1^2-143109928984264359820273644711936*K.1-304792659338767199915543518347264)*X*Y*T+(-81193010239554509721150192087710747221427748864*K.1^3-246674615740017931966024338051013420614420529152*K.1^2-205148654831105421865290875607136148315001323520*K.1-28405902568673397070310263108181465922923397120)*X*Z^2+(56825286571528718731897873958880295152254976*K.1^3+52648138750899392592651596508141324462981120*K.1^2-49416713047676129420693794902132248222367744*K.1-23783233202782351183505356462451266745794560)*X*Z*T+(3401449402366824945018136113114958528512*K.1^3-14410718839952268613363876754816022872064*K.1^2-42587079819571381441798144097590241394688*K.1+15628475591888843398067220947227574796288)*X*T^2+(-1434997102662693317619*K.1^3-2794531873817590878606*K.1^2+1808341084215513761883*K.1+3894932821108146869115)*Y^3+(-3602025136315237537192683056947200*K.1^3-7014619391981309088158425054003200*K.1^2+4539199651925891787606500937031680*K.1+9776801853649516552232573692477440)*Y^2*Z+(407608063094943597726993711104*K.1^3+793771445446528820357256876032*K.1^2-513685988386292220232810405888*K.1-1106370742816711637968180281344)*Y^2*T+(-1686911668046024916029220318899017113871417344*K.1^3-3285203176748323155595140635853197632713818112*K.1^2+2125520492544761798259020730736362619116453888*K.1+4578483981483286446216194688806152874527555584)*Y*Z^2+(541172602607517301354166889722062987001856*K.1^3+1053992245183070990713998584422951103496192*K.1^2-681641926843413849921522652204480989560832*K.1-1468627069281400605416715484898893207437312)*Y*Z*T+(-37422746981317270495387894048063537152*K.1^3-72973547923065199905044976342941073408*K.1^2+46866920166155561175812844713636659200*K.1+101360641964884921199543179862703341568)*Y*T^2+(-243375926355511671092787143779283940490154405579376820224*K.1^3-401361676884438921668988876908606418083276787455147114496*K.1^2+317417694748811028219189336253052432064325894251114135552*K.1+554342764910348578069607998262884783932987741492134019072)*Z^3+(124177874124193715624663884634854932403900837282185216*K.1^3+225445328266028672782391570779693884655934564091297792*K.1^2-152514227926697552291475603293431742949942031558901760*K.1-304858800172527226594907716039186930092925689136152576)*Z^2*T+(-21319967786841162593410590394624931693437378363392*K.1^3-37465428559981756473356447674495188480581072584704*K.1^2+28167039744074762379268206225089914580074279993344*K.1+52831545276668143368844836590382067163375792553984)*Z*T^2+(1266697948318921727668562759441982344736538624*K.1^3+1845468444141952234059578226865112861816913920*K.1^2-2485396314874427282622368307761503128860491776*K.1-3584546697357684705018484949652847709510434816)*T^3
8.0.391881616.1|x^4-x^3-7*x^2+x+8|(-28526021186776338852928*K.1^3+65184709883008807036160*K.1^2+115925473175027427654464*K.1-177550020490674673030656)*X^2+(-52871036889*K.1^3-103720677547*K.1^2+66126797054*K.1+145111254537)*Y^2+(50511780886960376430524916014134001664*K.1^3-142423526437429304907406841146353745920*K.1^2-94415824786072426818817516054448799744*K.1+222172200954239328670248274505401368576)*Z^2+(5711956790729397680109459472384*K.1^3-11317642042311826446445305675776*K.1^2-30334661678531477843631375187968*K.1+41476478219187713909166516469760)*T^2|(-1709809052724686000354801917952*K.1^3+1024102185916840736818743066624*K.1^2+10192768533593248884438344302592*K.1+4903209718713020796009917448192)*X^3+(-65302627788869385018804288*K.1^3-129485474144315530652504448*K.1^2+56446077110858693940030528*K.1+137863283265967297393021440)*X^2*Y+(-400322387848016915426448767460430577664*K.1^3+211190786953674346422915840627605766144*K.1^2+2054093800357292757350621784274171330560*K.1+1406156658899493209286419610983051821056)*X^2*Z+(101768530937685437103959916311937024*K.1^3-160531656819596638401059262949621760*K.1^2-571467913894302107653548499887652864*K.1+299776354545702775399558200359911424)*X^2*T+(780825309367105462494016*K.1^3+1520691431641254831410944*K.1^2-983653942305821003511232*K.1-2119108319796826338844160)*X*Y^2+(682694903058376258579697894930522112*K.1^3+1326814832199140299558780848966426624*K.1^2-868667278068702872830983144251031552*K.1-1859322448294906185725559460991336448)*X*Y*Z+(111519890350758418345879806111744*K.1^3+216395877953685718556298693820416*K.1^2-143109928984264359820273644711936*K.1-304792659338767199915543518347264)*X*Y*T+(81193010239554509721150192087710747221427748864*K.1^3+246674615740017931966024338051013420614420529152*K.1^2+205148654831105421865290875607136148315001323520*K.1+28405902568673397070310263108181465922923397120)*X*Z^2+(56825286571528718731897873958880295152254976*K.1^3+52648138750899392592651596508141324462981120*K.1^2-49416713047676129420693794902132248222367744*K.1-23783233202782351183505356462451266745794560)*X*Z*T+(-3401449402366824945018136113114958528512*K.1^3+14410718839952268613363876754816022872064*K.1^2+42587079819571381441798144097590241394688*K.1-15628475591888843398067220947227574796288)*X*T^2+(-1434997102662693317619*K.1^3-2794531873817590878606*K.1^2+1808341084215513761883*K.1+3894932821108146869115)*Y^3+(-3602025136315237537192683056947200*K.1^3-7014619391981309088158425054003200*K.1^2+4539199651925891787606500937031680*K.1+9776801853649516552232573692477440)*Y^2*Z+(-407608063094943597726993711104*K.1^3-793771445446528820357256876032*K.1^2+513685988386292220232810405888*K.1+1106370742816711637968180281344)*Y^2*T+(-1686911668046024916029220318899017113871417344*K.1^3-3285203176748323155595140635853197632713818112*K.1^2+2125520492544761798259020730736362619116453888*K.1+4578483981483286446216194688806152874527555584)*Y*Z^2+(-541172602607517301354166889722062987001856*K.1^3-1053992245183070990713998584422951103496192*K.1^2+681641926843413849921522652204480989560832*K.1+1468627069281400605416715484898893207437312)*Y*Z*T+(-37422746981317270495387894048063537152*K.1^3-72973547923065199905044976342941073408*K.1^2+46866920166155561175812844713636659200*K.1+101360641964884921199543179862703341568)*Y*T^2+(-243375926355511671092787143779283940490154405579376820224*K.1^3-401361676884438921668988876908606418083276787455147114496*K.1^2+317417694748811028219189336253052432064325894251114135552*K.1+554342764910348578069607998262884783932987741492134019072)*Z^3+(-124177874124193715624663884634854932403900837282185216*K.1^3-225445328266028672782391570779693884655934564091297792*K.1^2+152514227926697552291475603293431742949942031558901760*K.1+304858800172527226594907716039186930092925689136152576)*Z^2*T+(-21319967786841162593410590394624931693437378363392*K.1^3-37465428559981756473356447674495188480581072584704*K.1^2+28167039744074762379268206225089914580074279993344*K.1+52831545276668143368844836590382067163375792553984)*Z*T^2+(-1266697948318921727668562759441982344736538624*K.1^3-1845468444141952234059578226865112861816913920*K.1^2+2485396314874427282622368307761503128860491776*K.1+3584546697357684705018484949652847709510434816)*T^3
8.0.116319195136.6|||
8.0.630831474001.2|||
8.0.1989873664.3|||
8.0.519110656.2|||
8.0.282822679445.1|||
8.0.54546536704.1|||
8.0.143162343424.1|||
8.0.16475519449.1|||
8.0.2113057024.3|||
8.0.23987814400.5|||
8.0.3524260153.1|||
8.0.10158799401.1|||
8.0.3629274669.1|||
8.0.630831474001.1|||
8.0.16475519449.2|||
8.0.2988262225.2|||
8.0.7704020617.1|||
8.0.16475519449.3|||
8.0.178959457296.1|||
