Format: label, coeffs, index in list of taus, absolute value of Schottky form

8.0.42575625.1|[1,1,4,-1,9,1,4,-1,1]|1|3.004383907512407800060476226573580185465E-42
8.0.16777216.1|[1,0,0,0,0,0,0,0,1]|1|0.01928977274562977650810987070081226740047
8.0.37515625.1|[16,-8,-4,6,-1,3,-1,-1,1]|1|3.029962554036320289442533577450163207003E-39
8.0.13140625.1|[1,3,5,3,4,-3,5,-3,1]|1|2.080774625623778084790652689626864136532E-39
8.0.64000000.1|[16,0,-8,0,4,0,-2,0,1]|1|3.867191518189778430165549964740461813640E-39
8.0.95883264.1|[4,-8,6,-12,15,-2,-1,-2,1]|1|8.021500474870668576611919701427214914174E-43
8.0.98188281.1|[1,0,11,0,18,0,8,0,1]|1|0.02193945323443523358672908181304695105567
8.0.64000000.2|[16,0,8,0,4,0,2,0,1]|1|8.096157294078741397575103944168427956904E-40
8.0.85100625.1|[16,-8,-8,2,3,1,-2,-1,1]|1|1.902837882855975605463126028324472055768E-39
8.0.110166016.2|[1,0,10,0,19,0,10,0,1]|1|0.0004410961880066244690628157968357490458191
8.0.40960000.1|[1,0,0,0,7,0,0,0,1]|1|0.02443535154205107264343207632963724587380
8.0.1265625.1|[1,-1,0,1,-1,1,0,-1,1]|1|6.376189844879873116154186422837002193911E-39
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|1|4.195942545528718974866850496511301837652E-41
8.0.123765625.1|[16,24,24,8,9,-4,6,-3,1]|1|8.628787381090699625068010681426029982028E-40
8.0.42575625.1|[1,1,4,-1,9,1,4,-1,1]|2|6.116100334016229167100296084228135048069E-40
8.0.134560000.4|[1,0,7,0,13,0,7,0,1]|1|4.791874813528835751380393342418980161605E-5
8.0.13140625.1|[1,3,5,3,4,-3,5,-3,1]|2|1.819300640837438156214587083058404295506E-39
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|1|2.295887403949780289001438549262198589490E-41
8.0.98188281.1|[1,0,11,0,18,0,8,0,1]|2|0.001666793873038600659800938164315618059172
8.0.95883264.1|[4,-8,6,-12,15,-2,-1,-2,1]|2|9.183549615799121156005754197048794357958E-41
8.0.85100625.1|[16,-8,-8,2,3,1,-2,-1,1]|2|8.420188573012039629011502452459099166084E-40
8.0.110166016.2|[1,0,10,0,19,0,10,0,1]|2|0.005456526442971191382860089229901160277081
8.0.185640625.1|[81,-81,9,3,4,1,1,-3,1]|1|3.887107562460183248086540232606415910153E-39
8.0.214798336.3|[16,-16,0,-4,9,-2,0,-2,1]|1|1.859915424945850260290210551210299566796E-5
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|2|0.001260903146631239074162465629894413273885
8.0.123765625.1|[16,24,24,8,9,-4,6,-3,1]|2|2.021562756152250872611698553685095053852E-39
8.0.98188281.1|[1,0,11,0,18,0,8,0,1]|3|0.0002099512093279162809387483935960384760074
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|2|3.562903193824501948825484437152193446455E-41
8.0.214798336.3|[16,-16,0,-4,9,-2,0,-2,1]|2|2.845431824620364419245810359906581151821E-6
8.0.134560000.4|[1,0,7,0,13,0,7,0,1]|2|0.0001235972401406809993661770357538084529088
8.0.267543125.1|[11,-21,32,-23,16,-10,6,-1,1]|1|2.766765229487308727108225916895081329333E-5
8.0.273850625.1|[16,-8,12,2,3,1,3,-1,1]|1|4.389479636892680671238962952474449004558E-6
8.0.316180889.1|[16,-24,12,4,-7,2,3,-3,1]|1|0.0001975234426390400843123320177389638398719
8.0.284363125.1|[11,18,19,13,13,1,6,-1,1]|1|3.538433074108245580668150602870637362289E-6
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|3|0.0004649294229258223643321427999883646572467
8.0.339738624.2|[4,0,8,0,14,0,4,0,1]|1|9.038103521345292150498837966439769136331E-44
8.0.185640625.1|[81,-81,9,3,4,1,1,-3,1]|2|1.459514601469960491268518279414390445622E-39
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|3|4.308524057843831894649966905030295563417E-42
8.0.214798336.3|[16,-16,0,-4,9,-2,0,-2,1]|3|0.0002810155727258758507783839874498302605492
8.0.339738624.1|[4,0,-8,0,14,0,-4,0,1]|1|1.669524588749480493456636099629543483726E-40
8.0.346890625.1|[121,-11,-50,31,9,1,0,-1,1]|1|5.313721884670810057658232276057161914911E-41
8.0.267543125.1|[11,-21,32,-23,16,-10,6,-1,1]|2|2.432322316355854977080562428078388223236E-5
8.0.386672896.3|[16,0,-4,-4,2,-2,-1,0,1]|1|3.177212002846314747208407437158665038982E-7
8.0.371495353.1|[3,5,4,-4,14,-13,10,-4,1]|1|0.0001128780011717418168596893833768412785899
8.0.284363125.1|[11,18,19,13,13,1,6,-1,1]|2|5.972598588870091393161685529242055490808E-6
8.0.316180889.1|[16,-24,12,4,-7,2,3,-3,1]|2|1.139430504883231454222629665144784557601E-5
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|4|1.119547655354359198049806215257246595211E-5
8.0.372668125.1|[11,-15,30,-24,18,-5,4,-1,1]|1|1.604088435979313844940192550989875104532E-5
8.0.386814749.1|[3,7,13,0,2,-2,4,-1,1]|1|0.0001058847111813340478117016659095741607734
8.0.273850625.1|[16,-8,12,2,3,1,3,-1,1]|2|5.803655857975395836502282878275708313945E-6
8.0.404205625.1|[16,-24,32,-28,23,-14,8,-3,1]|1|6.092725923778433962526130629615808168458E-6
8.0.386672896.3|[16,0,-4,-4,2,-2,-1,0,1]|2|3.856684545971093545725475953841005818037E-6
