Format: label, coeffs, index in list of taus, absolute value of Schottky form

8.0.42575625.1|[1,1,4,-1,9,1,4,-1,1]|1|3.004383907512407800060476226573580185465E-42
8.0.37515625.1|[16,-8,-4,6,-1,3,-1,-1,1]|1|3.029962554036320289442533577450163207003E-39
8.0.13140625.1|[1,3,5,3,4,-3,5,-3,1]|1|2.080774625623778084790652689626864136532E-39
8.0.64000000.1|[16,0,-8,0,4,0,-2,0,1]|1|3.867191518189778430165549964740461813640E-39
8.0.95883264.1|[4,-8,6,-12,15,-2,-1,-2,1]|1|8.021500474870668576611919701427214914174E-43
8.0.64000000.2|[16,0,8,0,4,0,2,0,1]|1|8.096157294078741397575103944168427956904E-40
8.0.85100625.1|[16,-8,-8,2,3,1,-2,-1,1]|1|1.902837882855975605463126028324472055768E-39
8.0.1265625.1|[1,-1,0,1,-1,1,0,-1,1]|1|6.376189844879873116154186422837002193911E-39
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|1|4.195942545528718974866850496511301837652E-41
8.0.123765625.1|[16,24,24,8,9,-4,6,-3,1]|1|8.628787381090699625068010681426029982028E-40
8.0.42575625.1|[1,1,4,-1,9,1,4,-1,1]|2|6.116100334016229167100296084228135048069E-40
8.0.13140625.1|[1,3,5,3,4,-3,5,-3,1]|2|1.819300640837438156214587083058404295506E-39
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|1|2.295887403949780289001438549262198589490E-41
8.0.95883264.1|[4,-8,6,-12,15,-2,-1,-2,1]|2|9.183549615799121156005754197048794357958E-41
8.0.85100625.1|[16,-8,-8,2,3,1,-2,-1,1]|2|8.420188573012039629011502452459099166084E-40
8.0.185640625.1|[81,-81,9,3,4,1,1,-3,1]|1|3.887107562460183248086540232606415910153E-39
8.0.123765625.1|[16,24,24,8,9,-4,6,-3,1]|2|2.021562756152250872611698553685095053852E-39
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|2|3.562903193824501948825484437152193446455E-41
8.0.339738624.2|[4,0,8,0,14,0,4,0,1]|1|9.038103521345292150498837966439769136331E-44
8.0.185640625.1|[81,-81,9,3,4,1,1,-3,1]|2|1.459514601469960491268518279414390445622E-39
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|3|4.308524057843831894649966905030295563417E-42
8.0.339738624.1|[4,0,-8,0,14,0,-4,0,1]|1|1.669524588749480493456636099629543483726E-40
8.0.346890625.1|[121,-11,-50,31,9,1,0,-1,1]|1|5.313721884670810057658232276057161914911E-41
8.0.391881616.1|[16,-24,8,8,-10,4,2,-3,1]|1|2.238631062881167988287119684798593600833E-41
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|4|3.582361519390759266403412814235297836343E-39
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|5|5.041424664402573756140398009956259281344E-40
8.0.346890625.1|[121,-11,-50,31,9,1,0,-1,1]|2|2.929326508494192212415981090660015744428E-39
8.0.432972864.2|[16,-8,4,8,-6,4,1,-1,1]|1|1.161534665695118228894293535508315476823E-41
8.0.391881616.1|[16,-24,8,8,-10,4,2,-3,1]|2|3.488430573173524133549920587408185180292E-42
8.0.446265625.1|[81,27,36,21,19,-7,4,-1,1]|1|4.000711440145332686796588979120322525670E-39
8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|6|9.840324827203645668601458480842035625323E-41
8.0.432972864.2|[16,-8,4,8,-6,4,1,-1,1]|2|3.725072890934776888778544513687310309107E-40
8.0.391881616.1|[16,-24,8,8,-10,4,2,-3,1]|3|5.781057048738834847686287079963857072939E-40
8.0.391881616.1|[16,-24,8,8,-10,4,2,-3,1]|4|3.057210646904909706191735286572679493184E-42
8.0.516425625.1|[25,25,45,0,21,-2,8,-2,1]|1|4.313188478456140717919432929183192331639E-42
8.0.447703281.1|[16,-8,-8,4,3,2,-2,-1,1]|3|2.156790402994799208067456625243099776279E-40
8.0.516425625.1|[25,25,45,0,21,-2,8,-2,1]|2|9.272799036670316789131357408395350015338E-41
8.0.447703281.1|[16,-8,-8,4,3,2,-2,-1,1]|4|6.937762326123328108139788040132992064484E-40
8.0.447703281.1|[16,-8,-8,4,3,2,-2,-1,1]|5|1.479091604845322719273066799859360066766E-42
8.0.562828176.1|[16,-16,4,4,-6,2,1,-2,1]|1|5.173712348520523456636867380121264318204E-42
8.0.447703281.1|[16,-8,-8,4,3,2,-2,-1,1]|6|1.141514759178097643336755762207199592228E-41
8.0.562828176.1|[16,-16,4,4,-6,2,1,-2,1]|2|1.412822121657564429847564387521893499543E-39
8.0.624650049.1|[4,2,9,0,15,2,5,-1,1]|2|2.258555986562018483586151992659251666749E-40
8.0.624650049.1|[4,2,9,0,15,2,5,-1,1]|3|1.011233504435726631428913764331132853526E-39
8.0.562828176.1|[16,-16,4,4,-6,2,1,-2,1]|4|9.874985112641048423730188956090484682757E-41
8.0.624650049.1|[4,2,9,0,15,2,5,-1,1]|6|3.824800455786840800379255599716983648099E-43
8.0.624650049.1|[4,2,9,0,15,2,5,-1,1]|7|5.248568963287754925146172966833007762161E-43
8.0.1123925625.1|[121,-77,-39,-12,39,-2,-4,-2,1]|1|2.934702975445853965564923636244479585801E-40
8.0.1130640625.1|[361,-38,-109,51,14,3,-1,-1,1]|1|1.156877250732197395263851259704290449450E-41
8.0.1123925625.1|[121,-77,-39,-12,39,-2,-4,-2,1]|2|1.283440075979306972257907152228354386268E-41
8.0.1130640625.1|[361,-38,-109,51,14,3,-1,-1,1]|2|6.017732863991911961293302785899520334318E-39
